Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
N°,UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Nº GDC PROTHEUS,Fornecedor,,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,Avanço OBRA%,OBS:
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental -  AMBIENTAL - CONSULTORIA,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental -  PRESERVE ENGENHARIA ,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental - JX Ambiental,ARES 2,000000000000016 /000000000000032,JX Ambiental,,81020,0,0,0,0,0,81020,,0,53470,53470,27550,0.6599605035793631,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental - ZAGO CONSULTORIA,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental Renova Mundo,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Consultoria Fundiária  -  AGROTEC,ARES 2,,,,,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Consultoria Fundiária  - 3FS AGROCONSULTING ,ARES 2,Pedido Compras Normal,3FS AGROCONSULTING,,905.41,0,0,0,0,0,905.41,,0,905.41,905.41,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Contratações Técnicas - Desenvolvimento - PROJETTI,ARES 2,,,,,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Engenharia do Proprietário -  G5  Conceitual e Projeto Básico,ARES 2,000000000000015,G5,,68000,0,0,0,0,0,68000,,0,66640,66640,1360,0.98,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Engenharia do Proprietário -  G5 fiscalização,ARES 2,000000000000003,G5 ,,344000,140666.67,17879.39,0,0,0,502546.06000000006,,0,473411.72000000003,473411.72000000003,29134.340000000026,0.9420265278768676,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Engenharia do Proprietário -  G5 Frente 0,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Engenharia do Proprietário -  G5 TR/Certificação,ARES 2,000000000000003,G5,,42000,0,146.1,0,0,0,42146.1,,0,40346.1,40346.1,1800,0.9572914219821052,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Engenharia do Proprietário -  LMENG,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Engenharia do Proprietário - G5 Drenagem,ARES 2,Estudo Hidrologico,G5,,4200,0,0,0,0,0,4200,,0,0,0,4200,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,EPC UFV / BOS - faturamento direto,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Estudo de Solos - FAW 7,ARES 2,000000000000013,FAW 7,,30238,0,0,0,0,0,30238,,0,30238,30238,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Estudo de Solos - Novo Tempo,ARES 2,000000000000017 / 000000000000046,Novo Tempo,,49598,0,0,0,0,0,49598,,0,49597.5,49597.5,0.5,0.9999899189483447,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Full EPC UFV - WEG,ARES 2,000000000000038/000000000000002,WEG,,13574685.07,,9844.09,0,157675.8,0,13742204.96,,0,12407017.43,12407017.43,1335187.5300000012,0.9028403714042699,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Full EPC UFV - WEG - SOBRESSALENTES,ARES 2,SOBRESSALENTES,WEG,,226583.22,0,0,0,0,0,226583.22,,0,145738.32,145738.32,80844.9,0.6431999686472811,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Contratações Tecnicas - Ecopontes,ARES 2,000000000000001, Ecopontes,,1257300,244330.73,0,0,0,0,1501630.73,,0,1501630.73,1501630.73,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Obra MT - Aguiar Andrade,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Obra MT - Engeluz,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Outros / DAE / DAM /  Serviços Gerais,ARES 2,Pedido Compras Normal,Varios,,1001400.7171889403,0,0,0,0,0,1001400.7171889403,,0,1001400.7171889403,1001400.7171889403,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Topografia_ANDERSON ESTEVES NOGUEIRA ,ARES 2,Pedido Compras Normal,Topogeo,,26183.52,0,0,0,0,0,26183.52,,0,26183.52,26183.52,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Topografia_PWX ENGENHARIA,ARES 2,Pedido Compras Normal,PWX ENGENHARIA,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Trackers (Estrutura Fixa ou Móvel) + Inversor,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental  -  IK AMBIENTAL,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Acessoria fundiária - GP Serviços,ARES 2,Pedido Compras Normal,GP ,,7994.68,0,0,0,0,0,7994.68,,0,7994.68,7994.68,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Contratações Tecnicas - PERFIMEC,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Contratações Técnicas -  GKF ENGENHARIA,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Segurança no Trabalho -  SECONCI,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental  -  MRS AMBIENTAl,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental - VB AMBIENTAL,ARES 2,Pedido Compras Normal,VB AMBIENTAL,,50000,0,0,0,0,0,50000,,0,41071.41,41071.41,8928.589999999997,0.8214282,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Contratações Técnicas - Desenvolvimento - MEGATRANZ,ARES 2,Pedido Compras Normal,MEGATRANZ,,240000,240000,160000,0,0,0,640000,,0,640000,640000,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Regrhan,ARES 2,Pedido Compras Normal,Regrhan,,7500,528,,0,0,0,8028,,0,8346.218487394945,8346.218487394945,-318.21848739494453,1.0396385759086877,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Roteador Starlink,ARES 2,Pedido Compras Normal,Latwan -Starlink,,5839,0,0,0,0,0,5839,,0,5839,5839,0,1,,
1,UFV Buritis 1,36.577.901/0003-50,ESTRELA DO NORTE SPE II S.A.,1,Total,ARES 2,,,,17017447.617188938,625525.4,187869.58,0,157675.8,0,17988518.397188943,,0,16499830.755676335,16499830.755676335,1488687.6415126063,0.9172423426631264,0,
2,UFV Lagoa Grande 1,36.577.901/0004-30,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental -  AMBIENTAL - CONSULTORIA,ARES 2,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,,
2,UFV Lagoa Grande 1,36.577.901/0004-30,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental -  PRESERVE ENGENHARIA ,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
2,UFV Lagoa Grande 1,36.577.901/0004-30,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental - JX Ambiental,ARES 2,000000000000016,JX Ambiental,,48300,0,0,0,0,0,48300,,0,45090,45090,3210,0.9335403726708075,,
2,UFV Lagoa Grande 1,36.577.901/0004-30,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental - ZAGO CONSULTORIA,ARES 2,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,
2,UFV Lagoa Grande 1,36.577.901/0004-30,ESTRELA DO NORTE SPE II S.A.,1,Assesoria Ambiental Renova Mundo,ARES 2,,,,,0,0,0,0,0,0,,0,0,0,0,0,,
